Stations_id,von,bis,hoehe,geoBreite,geoLaenge,Stationsname,Bundesland,Landkreis
3,19930429,20110331,202,50.7827,6.0941,Aachen,Nordrhein-Westfalen,Städteregion Aachen
44,20070403,20210308,44,52.9336,8.237,Großenkneten,Niedersachsen,Landkreis Oldenburg
71,20100216,20200101,759,48.2156,8.9784,Albstadt-Badkap,Baden-Württemberg,Zollernalbkreis
73,20070214,20210308,340,48.6159,13.0506,Aldersbach-Kriestorf,Bayern,Landkreis Passau
131,20041101,20210308,296,51.0881,12.9326,Geringswalde-Altgeringswalde,Sachsen,Mittelsachsen
150,20050630,20210308,215,49.7273,8.1164,Alzey,Rheinland-Pfalz,Landkreis Alzey-Worms
154,20050114,20210308,516,48.0197,12.2925,Amerang-Pfaffing,Bayern,Landkreis Rosenheim
161,20110901,20210307,75,50.4237,7.4202,Andernach,Rheinland-Pfalz,Landkreis Mayen-Koblenz
164,19920105,20210307,54,53.0316,13.9908,Angermünde,Brandenburg,Uckermark
167,20040901,20200805,9,53.8412,13.6846,Anklam,Mecklenburg-Vorpommern,Vorpommern-Greifswald
183,19911102,20210307,42,54.6791,13.4344,Arkona,Mecklenburg-Vorpommern,Vorpommern-Rügen
198,19920422,20210307,164,51.3744,11.292,Artern,Thüringen,Kyffhäuserkreis
217,20041118,20200802,670,47.8774,11.3643,Attenkam,Bayern,Landkreis Bad Tölz-Wolfratshausen
222,19920421,20080526,393,50.5908,12.7139,Aue,Sachsen,Erzgebirgskreis
232,19961108,20210307,462,48.4253,10.9417,Augsburg,Bayern,Landkreis Aichach-Friedberg
282,19950601,20210307,240,49.8743,10.9206,Bamberg,Bayern,Bamberg
298,19920507,20210307,3,54.3405,12.7108,Barth,Mecklenburg-Vorpommern,Vorpommern-Rügen
303,19930901,20210307,55,52.0613,13.4997,Baruth,Brandenburg,Teltow-Fläming
320,20060511,20210308,350,49.9667,11.5197,Heinersreuth-Vollhof,Bayern,Landkreis Bayreuth
326,20040701,20130708,120,51.7204,8.0577,Beckum-Unterberg,Nordrhein-Westfalen,Kreis Warendorf
342,20101202,20210307,103,52.317,8.1694,Belm,Niedersachsen,Landkreis Osnabrück
348,19910102,20110901,127,50.4135,7.5886,Bendorf,Rheinland-Pfalz,Landkreis Mayen-Koblenz
377,20040930,20210308,210,49.107,7.9967,"Bergzabern, Bad",Rheinland-Pfalz,Landkreis Südliche Weinstraße
410,20040128,20181209,33,52.404,13.7309,Berlin-Kaniswall,Berlin,Berlin
427,19920219,20210307,46,52.3807,13.5306,Berlin Brandenburg,Brandenburg,Dahme-Spreewald
430,19941223,20210308,36,52.5644,13.3088,Berlin-Tegel,Berlin,Berlin
433,19950601,20210307,48,52.4675,13.4021,Berlin-Tempelhof,Berlin,Berlin
445,20040128,20200816,85,51.8218,11.711,Bernburg/Saale (Nord),Sachsen-Anhalt,Salzlandkreis
460,19931001,20210307,363,49.2641,6.6868,Berus,Saarland,Landkreis Saarlouis
535,20040601,20200914,417,50.0372,7.3079,Blankenrath,Rheinland-Pfalz,Landkreis Cochem-Zell
