Stations_id,von,bis,hoehe,geoBreite,geoLaenge,Stationsname,Bundesland,Landkreis
3,19930429,20110331,202,50.7827,6.0941,Aachen,Nordrhein-Westfalen,Städteregion Aachen
44,20070209,20210308,44,52.9336,8.237,Großenkneten,Niedersachsen,Landkreis Oldenburg
71,20091201,20191231,759,48.2156,8.9784,Albstadt-Badkap,Baden-Württemberg,Zollernalbkreis
73,20070214,20210308,340,48.6159,13.0506,Aldersbach-Kriestorf,Bayern,Landkreis Passau
78,20041011,20210308,65,52.4853,7.9126,Alfhausen,Niedersachsen,Landkreis Osnabrück
91,20020820,20210308,300,50.7446,9.345,Alsfeld-Eifa,Hessen,Vogelsbergkreis
96,20190410,20210307,50,52.9437,12.8518,Neuruppin-Alt Ruppin,Brandenburg,Ostprignitz-Ruppin
131,20041101,20210307,296,51.0881,12.9326,Geringswalde-Altgeringswalde,Sachsen,Mittelsachsen
142,20051026,20210308,511,48.406,11.3117,Altomünster-Maisbrunn,Bayern,Landkreis Dachau
150,20050701,20210308,215,49.7273,8.1164,Alzey,Rheinland-Pfalz,Landkreis Alzey-Worms
151,20041124,20210308,382,49.4691,11.8546,Amberg-Unterammersricht,Bayern,Amberg
154,20050113,20210307,516,48.0197,12.2925,Amerang-Pfaffing,Bayern,Landkreis Rosenheim
161,20110901,20210307,75,50.4237,7.4202,Andernach,Rheinland-Pfalz,Landkreis Mayen-Koblenz
164,19911102,20210307,54,53.0316,13.9908,Angermünde,Brandenburg,Uckermark
167,20040901,20210308,9,53.8412,13.6846,Anklam,Mecklenburg-Vorpommern,Vorpommern-Greifswald
183,19911102,20210307,42,54.6791,13.4344,Arkona,Mecklenburg-Vorpommern,Vorpommern-Rügen
191,20041104,20210308,217,49.9694,9.9114,Arnstein-Müdesheim,Bayern,Landkreis Main-Spessart
198,19911108,20210307,164,51.3744,11.292,Artern,Thüringen,Kyffhäuserkreis
217,20041117,20210308,670,47.8774,11.3643,Attenkam,Bayern,Landkreis Bad Tölz-Wolfratshausen
222,19911102,20210308,393,50.5908,12.7139,Aue,Sachsen,Erzgebirgskreis
232,19961108,20210307,462,48.4253,10.9417,Augsburg,Bayern,Landkreis Aichach-Friedberg
257,20020909,20210308,240,48.727,8.2457,Baden-Baden-Geroldsau,Baden-Württemberg,Baden-Baden
259,20040701,20210308,275,47.8064,7.6387,Müllheim,Baden-Württemberg,Landkreis Breisgau-Hochschwarzwald
282,19950601,20210307,240,49.8743,10.9206,Bamberg,Bayern,Bamberg
294,20040423,20210308,110,52.3199,9.43,Barsinghausen-Hohenbostel,Niedersachsen,Region Hannover
298,19911101,20210307,3,54.3405,12.7108,Barth,Mecklenburg-Vorpommern,Vorpommern-Rügen
303,19980101,20210307,55,52.0613,13.4997,Baruth,Brandenburg,Teltow-Fläming
314,20030714,20210308,234,51.1604,14.5042,"Kubschütz, Kr. Bautzen",Sachsen,Bautzen
320,20060511,20210308,350,49.9667,11.5197,Heinersreuth-Vollhof,Bayern,Landkreis Bayreuth
326,20040701,20130708,120,51.7204,8.0577,Beckum-Unterberg,Nordrhein-Westfalen,Kreis Warendorf
330,20040609,20210307,455,49.5617,8.9673,Oberzent-Beerfelden,Hessen,Odenwaldkreis
342,20101202,20210307,103,52.317,8.1694,Belm,Niedersachsen,Landkreis Osnabrück
348,19910102,20110831,127,50.4135,7.5886,Bendorf,Rheinland-Pfalz,Landkreis Mayen-Koblenz
377,20041001,20210308,210,49.107,7.9967,"Bergzabern, Bad",Rheinland-Pfalz,Landkreis Südliche Weinstraße
379,20170901,20210308,303,50.9074,11.2665,"Berka, Bad (Flugplatz)",Thüringen,Landkreis Weimarer Land
390,20030123,20210308,610,50.9837,8.3683,"Berleburg, Bad-Stünzel",Nordrhein-Westfalen,Kreis Siegen-Wittgenstein
399,19911102,20150630,36,52.5198,13.4057,Berlin-Alexanderplatz,Berlin,Berlin
400,20030610,20210308,60,52.6309,13.5022,Berlin-Buch,Berlin,Berlin
410,20030807,20200616,33,52.404,13.7309,Berlin-Kaniswall,Berlin,Berlin
420,20070801,20210308,60,52.5447,13.5598,Berlin-Marzahn,Berlin,Berlin
427,19911102,20210307,46,52.3807,13.5306,Berlin Brandenburg,Brandenburg,Dahme-Spreewald
430,19941223,20210308,36,52.5644,13.3088,Berlin-Tegel,Berlin,Berlin
433,19950601,20210307,48,52.4675,13.4021,Berlin-Tempelhof,Berlin,Berlin
445,20030528,20210308,85,51.8218,11.711,Bernburg/Saale (Nord),Sachsen-Anhalt,Salzlandkreis
450,20050921,20121204,120,49.9186,7.0664,Bernkastel-Kues,Rheinland-Pfalz,Landkreis Bernkastel-Wittlich
460,19931001,20210307,363,49.2641,6.6868,Berus,Saarland,Landkreis Saarlouis
535,20030701,20210308,417,50.0372,7.3079,Blankenrath,Rheinland-Pfalz,Landkreis Cochem-Zell
554,19940526,20060228,23,51.8293,6.5365,Bocholt-Liedern (Wasserwerk),Nordrhein-Westfalen,Kreis Borken
555,20080101,20181101,101,51.4789,7.2697,Bochum,Nordrhein-Westfalen,Bochum-Ost
591,19911101,20210307,45,53.3911,10.6878,Boizenburg,Mecklenburg-Vorpommern,Ludwigslust-Parchim
596,19911107,20210307,15,54.0027,11.1908,Boltenhagen,Mecklenburg-Vorpommern,Nordwestmecklenburg
603,20071026,20210307,147,50.7293,7.204,Königswinter-Heiderhof,Nordrhein-Westfalen,Rhein-Sieg-Kreis
617,20040601,20210308,47,51.873,6.8863,Borken in Westfalen,Nordrhein-Westfalen,Kreis Borken
656,19910815,20210307,607,51.7234,10.6021,Braunlage,Niedersachsen,Landkreis Goslar
662,19970702,20210307,81,52.2915,10.4464,Braunschweig,Niedersachsen,Braunschweig
691,19910620,20210307,4,53.045,8.7979,Bremen,Bremen,Bremen
701,19971120,20210307,7,53.5332,8.5761,Bremerhaven,Bremen,Bremen
704,20020717,20210307,11,53.4451,9.139,Bremervörde,Niedersachsen,Landkreis Rotenburg (Wümme)
722,19970605,20210307,1135,51.7986,10.6183,Brocken,Sachsen-Anhalt,Landkreis Harz
755,20040324,20210308,340,49.5182,9.3213,"Buchen, Kr. Neckar-Odenwald",Baden-Württemberg,Neckar-Odenwald-Kreis
757,20030326,20210308,445,47.9625,7.9983,Buchenbach,Baden-Württemberg,Landkreis Breisgau-Hochschwarzwald
760,20171201,20210308,82,53.3629,9.9435,Rosengarten-Klecken,Niedersachsen,Harburg
817,20040927,20210308,293,51.0306,8.8146,Burgwald-Bottendorf,Hessen,Landkreis Waldeck-Frankenberg
840,19911108,20210307,897,50.4313,12.6114,Carlsfeld,Sachsen,Erzgebirgskreis
850,20080814,20150630,39,52.5959,10.0296,Celle,Niedersachsen,Landkreis Celle
853,19911107,20210307,418,50.7913,12.872,Chemnitz,Sachsen,Chemnitz
856,20030501,20210307,551,47.8843,12.5404,Chieming,Bayern,Landkreis Traunstein
863,20070912,20120331,585,51.7904,10.347,Clausthal-Zellerfeld,Niedersachsen,Landkreis Goslar
867,19920215,20210307,344,50.3066,10.9679,Lautertal-Oberlauter,Bayern,Landkreis Coburg
880,19911101,20210307,69,51.776,14.3168,Cottbus,Brandenburg,Cottbus - Chóśebuz
891,19990429,20210307,5,53.8713,8.7058,Cuxhaven,Niedersachsen,Landkreis Cuxhaven
896,20030611,20210308,170,51.0778,10.8619,Dachwig,Thüringen,Landkreis Gotha
917,20040713,20210308,162,49.8809,8.6779,Darmstadt,Hessen,Darmstadt
953,19970731,20210307,481,49.7619,7.0542,Deuselbach,Rheinland-Pfalz,Landkreis Bernkastel-Wittlich
963,19960614,20210307,38,52.5881,8.3424,Diepholz,Niedersachsen,Landkreis Diepholz
979,20030708,20210308,314,50.7364,8.2672,Dillenburg,Hessen,Lahn-Dill-Kreis
983,20061201,20210308,419,48.5562,10.5599,Dillingen/Donau-Fristingen,Bayern,Landkreis Dillingen an der Donau
991,20040913,20210308,359,50.9116,13.7087,Dippoldiswalde-Reinberg,Sachsen,Sächsische Schweiz-Osterzgebirge
1001,19911107,20210307,97,51.6451,13.5747,Doberlug-Kirchhain,Brandenburg,Elbe-Elster
1048,19911122,20210307,227,51.128,13.7543,Dresden-Klotzsche,Sachsen,Dresden
1050,20050810,20210308,112,51.0221,13.847,Dresden-Hosterwitz,Sachsen,Dresden
1051,20070301,20210308,120,51.0248,13.775,Dresden-Strehlen,Sachsen,Dresden
1052,20030317,20210308,80,52.2174,12.1641,Drewitz bei Burg,Sachsen-Anhalt,Jerichower Land
1072,20040506,20210307,107,49.4719,8.1929,"Dürkheim, Bad",Rheinland-Pfalz,Landkreis Bad Dürkheim
