Stations_id,von,bis,hoehe,geoBreite,geoLaenge,Stationsname,Bundesland,Landkreis
3,19930429,20110331,202,507.827,60.941,Aachen,Nordrhein-Westfalen,Städteregion Aachen
11,19920918,20200930,680,479.737,85.205,Donaueschingen (Landeplatz),Baden-Württemberg,Schwarzwald-Baar-Kreis
90,19910101,20210307,305,507.557,92.583,Alsfeld,Hessen,Vogelsbergkreis
96,20190410,20210307,50,529.437,128.518,Neuruppin-Alt Ruppin,Brandenburg,Ostprignitz-Ruppin
161,20110901,20210307,75,504.237,74.202,Andernach,Rheinland-Pfalz,Landkreis Mayen-Koblenz
164,19911102,20210307,54,530.316,139.908,Angermünde,Brandenburg,Uckermark
183,19911102,20210307,42,546.791,134.344,Arkona,Mecklenburg-Vorpommern,Vorpommern-Rügen
197,19990421,20210307,365,513.218,90.558,"Arolsen-Volkhardinghausen, Bad",Hessen,Landkreis Waldeck-Frankenberg
198,19911108,20210307,164,513.744,112.92,Artern,Thüringen,Kyffhäuserkreis
222,19911102,20080526,393,505.908,127.139,Aue,Sachsen,Erzgebirgskreis
232,19961108,20210307,462,484.253,109.417,Augsburg,Bayern,Landkreis Aichach-Friedberg
282,19950601,20210307,240,498.743,109.206,Bamberg,Bayern,Bamberg
298,19911101,20210307,3,543.405,127.108,Barth,Mecklenburg-Vorpommern,Vorpommern-Rügen
303,19930907,20210307,55,520.613,134.997,Baruth,Brandenburg,Teltow-Fläming
342,20101202,20210307,103,523.17,81.694,Belm,Niedersachsen,Landkreis Osnabrück
348,19910102,20110901,127,504.135,75.886,Bendorf,Rheinland-Pfalz,Landkreis Mayen-Koblenz
399,19911102,20150630,36,525.198,134.057,Berlin-Alexanderplatz,Berlin,Berlin
427,19911102,20210307,46,523.807,135.306,Berlin Brandenburg,Brandenburg,Dahme-Spreewald
430,19941223,20210308,36,525.644,133.088,Berlin-Tegel,Berlin,Berlin
433,19950601,20210307,48,524.675,134.021,Berlin-Tempelhof,Berlin,Berlin
460,19931001,20210307,363,492.641,66.868,Berus,Saarland,Landkreis Saarlouis
554,19940526,20060225,23,518.293,65.365,Bocholt-Liedern (Wasserwerk),Nordrhein-Westfalen,Kreis Borken
